Monthly_Income,Current_EMIs,Employment_Type,Credit_Score,Loan_Amount,Tenure_Years,Age,Bank_Interest_Rate,Processing_Fee_Percentage,Minimum_Tenure_Allowed,Maximum_Tenure_Allowed,Loan_Status
136958,15795,Salaried,644,1186074,8,59,13.89,2.93,1,22,0
31023,8322,Salaried,715,1816891,14,49,14.99,0.82,2,16,0
20311,5051,Salaried,671,1357371,9,35,8.53,0.78,1,16,0
171730,18431,Salaried,653,4892447,14,28,17.34,1.65,3,15,0
181845,67435,Salaried,827,578178,7,41,9.55,2.15,3,17,1
102313,10627,Student,719,3435357,2,59,12.36,1.39,1,21,0
169969,23483,Salaried,699,4848669,1,39,15.82,0.98,1,27,0
34457,1021,Salaried,647,321836,2,43,12.63,2.55,1,24,1
52065,995,Salaried,736,2929190,12,31,17.5,1.41,3,25,0
70591,24276,Salaried,708,2754238,5,31,12.94,0.99,1,10,1
185171,8571,Salaried,652,98984,7,44,16.81,1.41,2,19,1
148767,58839,Salaried,647,1787095,3,56,16.2,1.04,2,24,0
27666,5892,Student,710,1893400,8,44,17.82,1.8,3,22,0
67256,23599,Salaried,729,3797389,8,23,17.3,2.17,1,28,0
25965,8154,Student,597,4428368,5,42,17.03,2.5,1,22,0
152982,45453,Salaried,753,172409,12,22,15.45,1.07,1,18,1
65015,19174,Self-Employed,831,2882868,7,44,11.99,0.92,2,30,1
179899,55820,Salaried,648,3009034,3,50,9.51,0.55,2,25,0
58585,10921,Self-Employed,725,4077419,12,58,15.04,1.07,2,23,0
194997,42941,Salaried,757,3483977,7,22,17.8,0.56,2,18,1
59262,1306,Self-Employed,763,4743350,6,41,15.4,1.36,2,27,0
134101,3748,Self-Employed,685,1434250,6,53,17.32,0.86,3,13,0
83840,17675,Salaried,699,863168,2,32,16.14,1.95,3,21,0
127181,854,Salaried,616,319536,1,42,10.05,1.46,1,14,0
65859,5791,Salaried,807,2256903,11,45,10.87,0.73,1,20,0
183229,67863,Salaried,761,4350385,6,47,11.75,1.5,2,14,0
125078,15087,Salaried,677,2198815,13,48,10.1,1.02,1,28,0
148883,56250,Salaried,718,960681,3,36,14.03,2.2,3,30,0
157483,2911,Self-Employed,721,3662600,9,35,17.77,1.41,3,16,0
36918,4061,Self-Employed,576,197718,12,23,15.73,0.87,1,13,0
122512,16371,Salaried,619,3191259,5,57,12.52,1.37,2,17,0
